Verb,,abbiegen,ich biege ab / ich bog ab / ich bin abgebogen,skrenuti/zakrenuti,/
Verb,,abdecken ,,pokriti / obuhvatiti / uključivati,/
Substantiv,der,Abend,<-s; -e>,večer,/
Substantiv,das,Abendessen,<-s; Essen>,večera,
,,abends,,navečer,/
Verb,,abfahren,,otputovati/odvesti/krenuti/otići,
Substantiv,die,Abfahrt,<Abfahrt; -en>,odlazak,/
Verb,,abfeuern ,,okinuti / opaliti,
Substantiv,der,Abflug,<-(e)s; Abflüge>,polijetanje,/
Substantiv,der,Abflugtag,<-(e)s; -e>,dan polijetanja,/
Verb,,abfragen,ich frage ab / ich fragte ab / ich habe abgefragt,propitati,
Verb,,abholen,,doći po nekoga / pokupiti nekoga,/
Substantiv,das,Abitur,<-s>,matura,/
Substantiv,der,Abiturient,<-en; -en>,maturant,/
Substantiv,der,Ablauf,<-(e)s; Abläufe>,istek / hod / tok / tijek,/
Verb,,ablaufen,es läuft ab / es lief ab / es ist abgelaufen,odvijati se,/
Verb,,abmelden,,odjaviti,/
Substantiv,die,Abmeldung,<Abmeldung; -en>,odjava,/
Verb,,abnehmen,ich nehme ab / ich nahm ab / ich habe abgenommen,izvaditi(krv)/obrijati/uštedjeti/dignuti/oduzeti/skinuti/kupiti,/
Verb,,abschließen,,završiti / zaključati / svršiti / okončati,/
Verb,,abschrauben,ich schraube ab / ich schraubte ab / ich habe abgeschraubt,odvrnuti/odšarafiti,/
Substantiv,die,Absicht,,namjera,/
Verb,,abstellen,ich stelle ab / ich stellte ab / ich habe abgestellt,ugasiti/odložiti/ostaviti/ukloniti/,/
Verb,,abstimmen,,glasati / glasovati / uskladiti / koordinirati,/
Substantiv,das,Abteil,<-(e)s; -e>,kupe/odjeljak,/
Substantiv,die,Abteilung,<Abteilung; -en>,odjel / odsjek / sekcija / odred,/
Adverb,,abwärts,,nadolje/naniže/nizbrdo,/
Substantiv,der,Abwasch,<-(e)s>,prljavo posuđe/pranje suđa,/
Substantiv,der,Adamsapfel,<-s; ->,Adamova jabučica,/
